bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
54.06,100,56.32,100,55.84,1,300183,11:50:42
55.76,100,56.32,100,55.78,100,300694,11:51:43
55.71,100,55.72,100,55.715,800,302596,11:52:45
54.06,100,56.32,100,55.725,100,303919,11:53:50
55.74,100,55.75,100,55.75,100,304129,11:54:52
54.06,100,55.8,100,55.79,100,304944,11:55:54
54.06,100,56.32,100,55.8,2,305455,11:56:56
54.06,100,56.32,100,55.815,100,305856,11:57:57
54.06,100,55.8,100,55.785,200,307367,11:59:0
54.06,100,56.32,100,55.8,100,310466,12:0:2
54.06,100,56.32,100,55.71,1,311870,12:1:9
55.7,200,56.32,100,55.71,100,314070,12:2:12
54.06,100,56.32,100,55.695,20,314090,12:3:14
54.06,100,56.32,100,55.715,100,314290,12:4:16
54.06,100,55.7,100,55.685,3,314923,12:5:17
55.71,100,56.32,100,55.7,100,315023,12:6:20
54.06,100,56.32,100,55.7,100,315023,12:7:21
55.71,100,56.32,100,55.72,59,315082,12:8:27
54.06,100,55.75,200,55.72,59,315082,12:9:29
55.79,100,56.32,100,55.78,100,315382,12:10:30
54.06,100,56.32,100,55.81,1,315583,12:11:33
54.06,100,56.32,100,55.795,101,316485,12:12:34
54.06,100,56.32,100,55.84,50,316635,12:13:37
54.06,100,55.8,100,55.795,400,321804,12:14:38
54.06,100,55.81,100,55.815,20,321837,12:15:44
54.06,100,55.81,200,55.8,100,321937,12:16:45
54.06,100,56.32,100,55.79,100,322037,12:17:46
54.06,100,56.32,100,55.79,3,322441,12:18:47
54.06,100,56.32,100,55.795,100,322541,12:19:49
55.78,200,56.32,100,55.805,100,322859,12:20:53
54.06,100,56.32,100,55.745,100,323159,12:21:55
54.06,100,56.32,100,55.83,100,323361,12:22:57
54.06,100,56.32,100,55.765,600,325461,12:23:59
54.06,100,56.32,100,55.765,500,326661,12:25:1
54.06,100,56.32,100,55.855,100,327746,12:26:4
54.06,100,56.32,100,55.895,100,328246,12:27:6
54.06,100,55.91,100,55.895,100,328447,12:28:9
54.06,100,56.32,100,55.895,200,329447,12:29:10
54.06,100,56.32,100,55.895,200,329447,12:30:12
54.06,100,56.32,100,55.945,100,329749,12:31:14
54.06,100,56.32,100,55.935,2,329951,12:32:16
55.91,100,56.32,100,55.905,400,330451,12:33:18
54.06,100,55.94,100,55.93,100,331301,12:34:19
54.06,100,56.32,100,55.955,100,331501,12:35:36
54.06,100,55.92,100,55.895,100,332611,12:36:38
54.06,100,56.32,100,55.94,100,333011,12:37:44
54.06,100,56.32,100,55.855,100,333411,12:38:46
55.9,200,56.32,100,55.92,100,333723,12:39:49
55.93,200,56.32,100,55.95,3,333873,12:40:50
54.06,100,56.32,100,55.95,3,333873,12:41:51
54.06,100,56.32,100,55.865,100,334079,12:42:51
54.06,100,56.32,100,55.8,100,334183,12:44:9
55.76,100,56.32,100,55.77,1,334385,12:45:16
54.06,100,56.32,100,55.785,100,334485,12:46:18
54.06,100,56.32,100,55.785,100,334485,12:47:24
54.06,100,56.32,100,55.725,102,334592,12:48:27
54.06,100,56.32,100,55.65,99,334996,12:49:33
54.06,100,55.61,200,55.615,100,338199,12:50:39
55.53,100,56.32,100,55.53,100,338402,12:51:41
54.06,100,55.6,200,55.56,100,338602,12:52:42
54.06,100,56.32,100,55.5,100,341304,12:53:44
55.48,100,56.32,100,55.49,100,341805,12:54:47
54.06,100,56.32,100,55.48,2,341817,12:55:50
54.06,100,56.32,100,55.5,500,343017,12:56:52
55.46,200,56.32,100,55.5,500,343017,12:57:56
54.06,100,55.5,100,55.5,200,343392,12:58:58
55.53,100,56.32,100,55.53,17,343522,13:0:1
55.51,100,56.32,100,55.515,8,343630,13:1:7
55.51,100,56.32,100,55.5,100,343840,13:2:24
54.06,100,56.32,100,55.545,100,345025,13:3:27
54.06,100,55.48,100,55.48,9,345037,13:4:33
55.44,100,55.45,100,55.45,41,347748,13:5:39
54.06,100,55.47,100,55.46,100,349749,13:6:41
55.46,100,56.32,100,55.45,92,349849,13:7:47
54.06,100,56.32,100,55.46,5,349955,13:8:51
54.06,100,56.32,100,55.4,1,349957,13:9:53
54.06,100,56.32,100,55.385,300,350357,13:10:54
54.06,100,55.31,136,55.315,100,351236,13:11:56
54.06,100,56.32,100,55.295,100,352336,13:12:59
54.06,100,56.32,100,55.28,200,353442,13:14:2
55.31,100,56.32,100,55.275,10,353652,13:15:3
55,200,56.32,100,55.35,100,353859,13:16:5
55,200,55.42,100,55.41,100,354183,13:17:8
55.41,100,56.32,100,55.415,400,357891,13:18:11
55,200,55.43,100,55.41,1,358192,13:19:13
55,200,55.4,200,55.37,100,358393,13:20:21
55.4,100,56.32,100,55.37,100,358393,13:21:26
55,200,55.43,100,55.43,100,358594,13:22:27
55,200,56.32,100,55.48,100,358694,13:23:30
55.4,200,56.32,100,55.405,100,359730,13:24:33
55.38,200,56.32,100,55.395,100,360730,13:25:36
55,200,56.32,100,55.395,1,361244,13:26:38
55.39,100,56.32,100,55.405,1,361679,13:27:39
55,200,56.32,100,55.425,1,362139,13:28:42
55,200,55.42,100,55.415,100,362248,13:29:47
55,200,55.38,100,55.375,50,362398,13:30:50
55,200,56.32,100,55.33,100,362598,13:31:51
55.25,200,56.32,100,55.38,100,363235,13:32:54
55.39,100,56.32,100,55.395,9,363887,13:33:59
55.35,100,56.32,100,55.37,13,364543,13:35:2
55.25,200,55.37,100,55.365,1,364607,13:36:5
55.25,200,56.32,100,55.38,1,364726,13:37:8
55.38,100,56.32,100,55.375,1,364759,13:38:15
55.25,200,55.4,100,55.385,1,365118,13:39:18
55.25,200,56.32,100,55.435,2,365233,13:40:20
55.38,100,56.32,100,55.405,100,366445,13:41:26
55.25,200,56.32,100,55.395,200,367645,13:42:27
55.38,100,56.32,100,55.38,1,371877,13:43:29
55.25,200,55.45,100,55.445,100,373345,13:44:31
55.54,100,56.32,100,55.515,100,376082,13:45:34
55.46,100,56.32,100,55.455,100,378296,13:46:40
54.06,100,55.43,200,55.425,13,383769,13:47:42
54.06,100,55.36,100,55.37,100,384622,13:48:45
54.06,100,55.36,100,55.36,1,385130,13:49:48
55.31,100,56.32,100,55.32,100,385499,13:51:5
55.29,300,56.32,100,55.3,100,386129,13:52:8
54.06,100,56.32,100,55.34,100,387140,13:53:11
55.41,300,55.43,100,55.4,100,389166,13:54:15
55.42,100,55.44,100,55.415,50,392929,13:55:17
54.06,100,56.32,100,55.405,24,396264,13:56:34
54.06,100,55.42,300,55.415,100,397925,13:57:40
54.06,100,56.32,100,55.42,100,400916,13:58:41
53,140,55.43,200,55.415,102,405814,13:59:43
