lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1586439610.597794,165.92,268.55,2043.89,1218.29,199.735,175.495,563.9,144.27,121.07,175.82,115.21,98.42,50.4,274.41,59.045,57.215,264.91,30.25,81.32,199.81,85.29,48.83,35.37,24.315,133.45,105.905,44.685,41.69,0.0,39.655,369.825,52.265,37.75,270.11,315.865,87.79,84.71,145.27,302.89,58.92,119.93,86.31,218.25,152.865,181.25,100.67,44.015,75.485,310.94
1586439672.467666,165.95,268.72,2044.92,1216.5,199.9,175.36,567.15,143.82,120.93,176.13,115.24,99.07,50.41,274.425,58.86,57.16,265.18,30.26,81.34,200.07,85.25,48.79,35.235,24.475,133.55,106.13,44.785,41.685,0.0,39.87,369.87,52.29,37.84,270.785,315.865,88.025,84.68,144.97,303.215,59.02,119.965,86.33,218.51,153.33,181.56,100.53,43.985,75.445,310.58
1586439733.357019,166.16,269.16,2045.86,1218.0,199.86,175.63,571.57,143.69,121.08,176.3,115.24,99.355,50.46,274.99,58.8,57.285,265.51,30.34,81.36,200.57,85.25,48.79,35.275,24.54,133.6,106.135,44.96,41.82,0.0,39.87,369.0,52.51,37.87,271.14,317.86,88.385,84.88,145.26,303.21,59.08,119.965,86.52,218.51,153.865,181.95,100.46,44.0,75.645,310.525
1586439793.591397,166.56,269.26,2047.655,1220.48,199.8,175.96,573.0,143.74,121.08,176.38,115.275,99.56,50.5,275.09,58.78,57.355,265.885,30.35,81.0,200.35,85.185,48.72,35.24,24.62,133.85,106.12,44.92,41.855,0.0,39.85,368.58,52.5,37.91,271.14,318.04,88.45,84.7,144.85,302.54,59.08,119.965,86.79,217.47,153.94,182.415,100.845,43.975,75.79,311.0
1586439853.784684,166.885,269.625,2046.85,1220.96,199.85,176.26,574.04,144.18,120.65,176.65,115.47,99.6,50.55,275.33,58.87,57.405,265.56,30.35,81.0,200.665,85.185,48.78,35.25,24.635,133.58,106.05,45.045,41.86,0.0,39.85,369.78,52.61,37.91,271.33,318.6,88.78,84.315,144.62,302.01,59.08,120.13,86.795,217.47,154.36,182.64,101.01,43.975,75.9,310.89
1586439914.14113,167.18,269.89,2049.045,1221.41,200.23,176.245,573.18,144.18,120.795,176.585,115.675,100.0,50.605,275.2,58.95,57.47,265.42,30.34,81.06,201.275,85.185,48.815,35.405,24.665,133.8,106.49,45.105,41.925,0.0,39.85,370.325,52.795,37.965,272.015,319.97,88.96,84.47,144.7,302.11,59.08,120.13,86.835,217.1,154.49,182.315,101.0,43.975,75.895,310.89
1586439974.364266,167.05,269.69,2050.4,1220.76,200.19,176.01,571.69,144.41,121.0,176.29,115.765,100.31,50.63,274.85,58.8,57.47,265.26,30.385,81.11,201.17,85.3,48.825,35.465,24.645,133.8,105.96,45.115,41.87,0.0,39.885,369.21,52.83,37.935,271.15,319.8,88.67,84.31,144.865,302.91,59.08,120.31,86.84,217.75,154.25,181.76,100.99,43.995,75.85,310.89
1586440038.034118,166.825,269.305,2050.4,1218.71,199.95,176.105,569.44,144.34,121.26,176.06,115.73,100.17,50.48,273.7,58.525,57.335,264.38,30.365,81.035,201.275,85.3,48.81,35.355,24.615,133.55,105.53,45.105,41.785,0.0,39.875,369.44,52.78,37.88,269.305,319.355,88.52,84.15,145.255,302.91,59.365,120.31,86.78,217.44,154.18,181.71,100.98,43.93,76.08,310.89
1586440100.832684,166.945,269.02,2050.05,1219.18,199.905,176.105,573.31,144.53,121.31,176.08,115.88,100.185,50.6,273.515,58.61,57.37,264.26,30.405,81.185,201.37,85.3,48.895,35.38,24.6,133.86,105.55,45.285,41.765,0.0,39.875,370.56,52.785,37.96,269.89,319.355,88.6,84.28,145.32,303.7,59.315,120.31,86.62,217.675,154.67,182.17,100.97,43.93,76.2,310.89
1586440161.078285,166.75,269.08,2051.5,1216.84,199.81,175.97,573.26,144.45,121.31,176.3,115.765,100.03,50.595,274.58,58.515,57.325,263.82,30.445,80.915,201.215,85.3,48.875,35.275,24.565,133.38,106.145,45.19,41.635,0.0,39.915,370.38,52.62,37.96,269.78,317.99,88.71,84.27,144.795,302.885,59.315,120.31,86.58,217.21,154.79,181.92,100.84,43.905,76.12,310.0
1586440221.301473,166.53,269.38,2046.72,1216.12,199.77,175.88,571.01,144.455,121.12,176.245,115.885,100.365,50.58,274.795,58.495,57.43,263.985,30.425,80.89,201.245,85.3,48.905,35.295,24.59,133.23,106.13,45.125,41.685,0.0,39.9,369.02,52.62,37.94,269.71,318.48,88.475,84.245,144.69,302.79,59.21,120.5,86.675,216.69,154.71,181.92,100.805,43.955,76.265,308.73
1586440282.173053,166.22,268.97,2046.72,1213.93,199.13,175.69,570.555,144.3,121.06,176.245,115.695,100.74,50.58,274.815,58.255,57.425,263.305,30.395,80.755,201.23,85.3,48.945,35.245,24.57,133.23,106.01,45.155,41.495,0.0,39.9,368.88,52.64,37.875,269.71,318.395,88.5,84.19,144.73,302.31,59.13,120.47,86.58,216.69,154.67,182.4,100.56,43.87,76.135,308.61
1586440343.761174,165.92,268.71,2044.24,1213.495,199.005,175.71,568.0,144.17,120.81,176.23,115.745,100.81,50.415,274.72,58.095,57.39,263.72,30.395,80.735,201.43,85.12,48.89,35.21,24.6,133.03,106.06,45.15,41.435,0.0,39.87,368.925,52.615,37.785,268.65,316.825,88.54,83.96,144.61,302.31,59.125,120.47,86.26,216.69,154.7,182.35,100.76,43.915,76.29,308.61
1586440403.986099,165.985,269.09,2043.09,1214.54,198.955,175.85,570.5,144.11,120.945,176.23,115.785,101.34,50.38,274.42,58.055,57.405,263.72,30.455,80.7,202.095,85.12,48.97,35.29,24.775,133.03,106.25,45.32,41.61,0.0,39.87,369.31,52.57,37.83,269.04,316.25,88.51,83.81,144.93,302.035,59.125,120.47,86.34,216.27,154.67,182.85,100.79,43.945,76.41,309.35
1586440464.192474,166.14,269.48,2044.0,1216.48,199.195,176.02,570.115,143.96,120.79,176.4,115.74,101.7,50.4,274.89,58.42,57.44,264.2,30.46,80.865,202.31,85.12,49.03,35.325,24.745,133.03,106.22,45.275,41.605,0.0,39.905,369.31,52.57,37.825,269.04,316.78,88.58,83.91,145.095,302.24,59.2,120.47,86.34,216.27,154.87,182.705,100.83,43.93,76.45,309.37
1586440527.051708,166.07,269.5,2045.1,1216.865,199.145,176.32,570.71,143.88,120.985,176.38,115.81,101.47,50.49,275.14,58.405,57.405,264.78,30.46,80.82,202.4,85.12,49.035,35.295,24.705,133.415,106.39,45.17,41.495,0.0,39.925,369.335,52.71,37.775,269.58,316.59,88.63,84.07,145.095,303.095,59.2,120.47,86.305,216.27,155.26,182.9,101.04,43.96,76.545,309.37
1586440587.259395,166.095,269.65,2046.52,1216.655,199.275,176.25,569.005,143.97,120.855,176.325,115.815,101.63,50.485,274.705,58.415,57.485,264.78,30.465,80.95,202.195,85.12,49.075,35.29,24.75,133.2,106.455,45.175,41.465,0.0,39.925,368.545,52.71,37.76,269.835,317.94,88.78,84.04,145.27,302.685,59.205,120.47,86.32,216.045,155.27,183.055,101.105,43.915,76.38,309.37
1586440647.612573,166.235,269.81,2046.47,1218.34,199.65,176.73,571.6,143.92,120.83,176.4,116.13,101.62,50.58,275.04,58.4,57.54,265.425,30.475,80.99,202.25,85.12,49.13,35.325,24.745,133.27,106.615,45.185,41.535,0.0,39.925,368.58,52.82,37.775,270.27,318.885,88.905,84.0,145.29,303.27,59.37,120.47,86.42,216.025,155.63,183.8,101.3,43.93,76.445,309.37
1586440707.758776,166.385,269.605,2045.93,1218.38,199.635,176.85,570.905,143.88,120.89,176.7,116.17,101.82,50.535,274.95,58.41,57.54,266.15,30.48,80.885,203.14,85.225,49.19,35.325,24.815,133.32,106.88,45.165,41.585,0.0,40.0,368.075,52.82,37.825,269.9,318.755,88.905,84.04,145.5,302.38,59.295,120.47,86.42,215.82,155.71,184.145,101.235,43.95,76.525,309.37
1586440767.986333,166.5,269.785,2047.61,1218.99,199.72,176.805,570.905,143.26,120.915,176.64,116.075,101.795,50.515,275.21,58.56,57.515,265.55,30.455,80.83,203.245,85.21,49.185,35.29,24.865,133.34,106.82,45.075,41.615,0.0,40.0,367.405,52.78,37.855,269.77,319.26,88.38,84.075,145.305,302.55,59.32,120.47,86.66,216.12,155.86,184.1,100.92,43.94,76.465,308.2
